	poa_global	module_temp	ambient_temp	Date	Month
2398	878.8018373926857	88.68688271559978	40.6	2020-07-05	7
2399	951.1859075077992	89.71390153296244	41.1	2020-07-05	7
2400	986.6164286807186	92.62471039163734	42.2	2020-07-05	7
2401	914.5162689320996	93.62607078803171	42.2	2020-07-05	7
2402	783.2548954521135	82.83116116647008	42.8	2020-07-05	7
2403	611.6304413667642	71.86481238570572	42.8	2020-07-05	7
2404	353.44433082853135	60.86409005922024	42.8	2020-07-05	7
2405	138.19237578089547	48.948678728511084	42.2	2020-07-05	7
2406	30.267058146084068	42.61211590444207	41.1	2020-07-05	7
2407	8.254652221659292	40.41239524666602	40.0	2020-07-05	7
2408	9.171835801843658	31.590582147332825	31.1	2020-07-06	7
2409	86.05033720359943	35.59912278606011	31.1	2020-07-06	7
2410	283.13413915312066	49.84608869371803	32.8	2020-07-06	7
2411	467.76822611227317	58.3692938006443	35.0	2020-07-06	7
2412	714.194116710395	71.78051700050892	36.1	2020-07-06	7
2413	874.5177214854114	85.07610796310615	38.3	2020-07-06	7
2414	956.3447724574455	91.2299303120243	38.9	2020-07-06	7
2415	903.977139629602	87.3011214707175	41.1	2020-07-06	7
2416	768.8226315425454	79.24575395472999	41.7	2020-07-06	7
2417	743.3212766713034	78.83568458288647	41.7	2020-07-06	7
2418	596.2309042633811	71.1330230134561	42.8	2020-07-06	7
2419	332.6640490959844	59.04577896709699	42.8	2020-07-06	7
2420	131.2260346301752	48.158515015175766	42.2	2020-07-06	7
2421	38.52171036774336	42.849136063459696	41.1	2020-07-06	7
2422	8.254652221659292	39.80311917024926	39.4	2020-07-06	7
2423	9.171835801843658	31.601870812876918	31.1	2020-07-07	7
2424	82.19418358430696	36.09639347587886	31.7	2020-07-07	7
2425	287.56112874495074	48.33506980641387	33.3	2020-07-07	7
2426	464.13477224997064	57.66620316023787	35.0	2020-07-07	7
2427	631.1318896532231	68.59859080191042	35.6	2020-07-07	7
2428	886.6872547137845	78.83557233263801	36.7	2020-07-07	7
2429	866.1219947425184	82.17070166899252	38.9	2020-07-07	7
2430	692.5789107466851	75.11133466464506	38.9	2020-07-07	7
2431	932.773578741055	86.1523625945012	40.6	2020-07-07	7
2432	778.4890432251184	77.04846317866281	41.7	2020-07-07	7
2433	597.3724575421295	72.23094626427563	41.7	2020-07-07	7
2434	347.60572617184556	57.98355960075428	42.2	2020-07-07	7
2435	139.9508965253492	46.74568548223324	41.1	2020-07-07	7
2436	45.85917900921829	42.58968309071578	40.6	2020-07-07	7
2437	9.171835801843658	40.43584764390959	40.0	2020-07-07	7
2438	12.84057012258112	31.741503717036032	31.1	2020-07-08	7
2439	103.3640789341025	36.74782522807712	31.7	2020-07-08	7
2440	285.788159946704	47.57772794669693	33.3	2020-07-08	7
2441	475.0981079080234	60.411995483437316	35.0	2020-07-08	7
2442	695.3961950706014	75.25116677093634	37.2	2020-07-08	7
2443	627.2005624298235	69.99304223039924	37.2	2020-07-08	7
2444	916.3676965403332	87.31208167097765	39.4	2020-07-08	7
2445	946.5309282271046	88.97599146448529	40.6	2020-07-08	7
2446	895.6699757735953	87.47655289529338	41.7	2020-07-08	7
2447	780.232427395501	77.62762415297496	42.2	2020-07-08	7
2448	601.2526642504411	68.8864299176931	42.8	2020-07-08	7
2449	351.2257981676662	58.038563941515086	42.8	2020-07-08	7
2450	149.94243873674142	49.60836142875799	42.8	2020-07-08	7
2451	108.22766246175516	47.227319775052074	42.2	2020-07-08	7
2452	11.006202962212388	39.89975316098848	39.4	2020-07-08	7
2453	4.585917900921829	31.917923821954794	31.7	2020-07-09	7
2454	105.09162246149627	37.193976891220814	32.2	2020-07-09	7
2455	303.8050070156961	48.33688039957168	33.9	2020-07-09	7
2456	544.2521042811923	62.562979066427445	36.7	2020-07-09	7
2457	549.1229875318927	65.2337069342548	37.8	2020-07-09	7
2458	643.0654445725661	71.76625669592892	38.9	2020-07-09	7
2459	951.7283599584182	89.76090611123624	40.0	2020-07-09	7
2460	963.8413372443098	90.36070444521332	41.1	2020-07-09	7
2461	907.5546864763313	90.24318552279678	41.7	2020-07-09	7
2462	783.6399771276784	80.46936482253888	42.2	2020-07-09	7
2463	587.5716525531716	70.09348967676742	42.8	2020-07-09	7
2464	322.10299700563115	52.73654757444663	40.6	2020-07-09	7
2465	116.41732300815886	43.83217665902478	38.3	2020-07-09	7
2466	43.10762826866519	39.24848392637506	37.2	2020-07-09	7
